中文tag,英文tag,,,,
春,spring,,,,
夏,summer,,,,
秋,autumn,,,,
冬,winter,,,,
紅葉,autumnleaves,,,,
櫻花,cherryblossoms,,,,
雪景,snow,,,,
祭典,festivals,,,,
煙火,fireworks,,,,
朝霞,sunrise,,,,
夕陽,sunset,,,,
夜景,nightviews,,,,
霓彩燈飾,illumination,,,,
傳統的,traditional,,,,
夢幻的,mysterious,,,,
清新的,fresh,,,,
多彩的,colorful,,,,
悠閒的,relaxing,,,,
世界遺產,worldheritage,,,,
溫泉,hotsprings,,,,
公園,parks,,,,
神社,temples,,,,
古城,castles,,,,
老街,historictowns,,,,
花卉,flowers,,,,
雲海,seaofclouds,,,,
田園風景,countryside,,,,
海景,ocean,,,,
川流,rivers,,,,
溪谷,valleys,,,,
高原,plateaus,,,,
島嶼,islands,,,,
瀑布,waterfalls,,,,
森林,forests,,,,
山岳,mountains,,,,